seqnames,start,end,DISEASE/TRAIT,SNPS
1,182112825,182112825,Cardiovascular heart disease in diabetics,rs10911021
1,109275216,109275216,Cardiovascular disease risk factors,rs660240
1,101544358,101544358,Circulating leptin levels x sex interaction in high cardiovascular risk,rs1146714
1,34530812,34530812,Circulating leptin levels in high cardiovascular risk,rs10737381
1,23775590,23775590,Circulating leptin levels in high cardiovascular risk,rs11591202
1,109274570,109274570,Lipoprotein-associated phospholipase A2 activity change in response to darapladib treatment in cardiovascular disease,rs7528419
1,173026503,173026503,Myocardial infarction in darapladib-treated cardiovascular disease (time to event),rs201052613
1,109274968,109274968,Lipoprotein phospholipase A2 activity in cardiovascular disease,rs12740374
1,210587100,210587100,Cardiovascular disease in hypertension (ACE inhibitor interaction),rs4077408
1,227120115,227120115,Cardiovascular death or myocardial infarction in response to clopidogrel treatment,rs115346894
1,227236411,227236411,Cardiovascular death or myocardial infarction in response to clopidogrel treatment,rs139496757
1,109960674,109960674,Blood protein levels in cardiovascular risk,rs17610659
1,12183768,12183768,Blood protein levels in cardiovascular risk,rs76769120
1,26807930,26807930,Blood protein levels in cardiovascular risk,rs35538083
1,11856038,11856038,Blood protein levels in cardiovascular risk,rs549596
1,11857564,11857564,Blood protein levels in cardiovascular risk,rs35207557
1,203199346,203199346,Blood protein levels in cardiovascular risk,rs2153101
1,154453788,154453788,Blood protein levels in cardiovascular risk,rs4129267
1,204641544,204641544,Blood protein levels in cardiovascular risk,rs116661163
1,166516654,166516654,Cardiovascular event in rheumatoid arthritis,rs6684311
1,3410468,3410468,Cardiovascular disease,rs2493296
1,6616425,6616425,Cardiovascular disease,rs12731208
1,8587858,8587858,Cardiovascular disease,rs6670508
1,10736809,10736809,Cardiovascular disease,rs880315
1,11825590,11825590,Cardiovascular disease,rs56153133
1,16093094,16093094,Cardiovascular disease,rs28711771
1,24703979,24703979,Cardiovascular disease,rs6686889
1,25068642,25068642,Cardiovascular disease,rs448385
1,26842709,26842709,Cardiovascular disease,rs71636784
1,42041342,42041342,Cardiovascular disease,rs12758407
1,55039974,55039974,Cardiovascular disease,rs11591147
1,56163763,56163763,Cardiovascular disease,rs1149643
1,56549996,56549996,Cardiovascular disease,rs61772626
1,62456989,62456989,Cardiovascular disease,rs4350231
1,72287256,72287256,Cardiovascular disease,rs2613498
1,88897581,88897581,Cardiovascular disease,rs6679817
1,109274968,109274968,Cardiovascular disease,rs12740374
1,112504257,112504257,Cardiovascular disease,rs3790604
1,115284645,115284645,Cardiovascular disease,rs59980837
1,153689947,153689947,Cardiovascular disease,rs35479618
1,193326609,193326609,Cardiovascular disease,rs16835282
1,201814554,201814554,Cardiovascular disease,rs2820290
1,228003374,228003374,Cardiovascular disease,rs2760061
1,230701298,230701298,Cardiovascular disease,rs943580
1,232394844,232394844,Cardiovascular disease,rs6683021
2,21021128,21021128,Cardiovascular disease risk factors,rs10199768
2,27508073,27508073,Cardiovascular disease risk factors,rs1260326
2,236081413,236081413,Cardiovascular disease in hypertension (calcium channel blocker interaction),rs3768939
2,71884400,71884400,Cardiovascular death or myocardial infarction in response to clopidogrel treatment,rs7584466
2,32636488,32636488,Blood protein levels in cardiovascular risk,rs7599125
2,31643808,31643808,Blood protein levels in cardiovascular risk,rs693918
2,27508073,27508073,Blood protein levels in cardiovascular risk,rs1260326
2,102341256,102341256,Blood protein levels in cardiovascular risk,rs1420101
2,60266350,60266350,Blood protein levels in cardiovascular risk,rs4672375
2,241776965,241776965,Blood protein levels in cardiovascular risk,rs12469459
2,20567381,20567381,Cardiovascular disease,rs113898337
2,21041028,21041028,Cardiovascular disease,rs1367117
2,21205177,21205177,Cardiovascular disease,rs312053
