seqnames,start,end,DISEASE/TRAIT,SNPS
1,73588377,73588377,Cardiac Troponin-T levels,rs2341260
1,201376359,201376359,Cardiac Troponin-T levels,rs12564445
1,15753676,15753676,Cardiac Troponin-T levels,rs12725198
1,171292054,171292054,Sudden cardiac arrest,rs6660565
1,111921754,111921754,Early cardiac repolarization,rs17029069
1,111921382,111921382,Early cardiac repolarization,rs1545300
1,169680550,169680550,Cardiac Troponin-T levels,rs16862512
1,201111046,201111046,Cardiac Troponin-T levels,rs184837031
1,37326889,37326889,Cardiac troponin-I levels,rs542754544
1,57708992,57708992,Cardiac troponin-I levels,rs542241509
2,96176055,96176055,Cardiac Troponin-T levels,rs11886999
2,52486669,52486669,Cardiac Troponin-T levels,rs1526687
2,10763286,10763286,Cardiac Troponin-T levels,rs1198872
2,157923692,157923692,Sudden cardiac arrest,rs10183640
2,192090779,192090779,Sudden cardiac arrest,rs13007495
2,159213245,159213245,Sudden cardiac arrest,rs13022357
2,154370165,154370165,Sudden cardiac arrest,rs707040
2,11370822,11370822,Sudden cardiac arrest,rs6716724
2,54120613,54120613,Sudden cardiac arrest,rs1559040
2,179701951,179701951,Sudden cardiac arrest,rs16866933
2,159333698,159333698,Sudden cardiac arrest,rs4665058
2,210678331,210678331,Betaine levels in individuals undergoing cardiac evaluation,rs715
2,84884429,84884429,Cardiac Troponin-T levels,rs548487604
2,97982529,97982529,Cardiac Troponin-T levels,rs147501248
2,127461297,127461297,Cardiac troponin-I levels,rs140692556
2,232894174,232894174,Sudden cardiac arrest,rs1554218
2,232894174,232894174,Sudden cardiac arrest,rs1554218
3,122295719,122295719,Cardiac Troponin-T levels,rs13083990
3,140456518,140456518,Sudden cardiac arrest,rs11708189
3,270666,270666,Sudden cardiac arrest,rs6764363
4,99242716,99242716,Cardiac Troponin-T levels,rs2201728
4,116333133,116333133,Sudden cardiac arrest,rs2389202
4,185989889,185989889,Cardiac Troponin-T levels,rs75898208
4,186234334,186234334,Cardiac troponin-I levels,rs4253248
4,160989304,160989304,Cardiac troponin-I levels,rs187147685
5,153677988,153677988,Sudden cardiac arrest,rs12189362
5,113694467,113694467,Sudden cardiac arrest,rs4621553
5,110672513,110672513,Cardiac structure and function,rs17132261
5,102712394,102712394,Early cardiac repolarization,rs2545583
5,79133771,79133771,Betaine levels in individuals undergoing cardiac evaluation,rs617219
5,177404118,177404118,Cardiac troponin-I levels,rs17876031
6,28053042,28053042,Cardiac Troponin-T levels,rs172166
6,137945548,137945548,Cardiac Troponin-T levels,rs9321637
6,51020055,51020055,Sudden cardiac arrest,rs190759
6,151964552,151964552,Sudden cardiac arrest,rs2982694
6,118256880,118256880,Cardiac structure and function,rs89107
6,116710998,116710998,Early cardiac repolarization,rs181993557
7,97991379,97991379,Sudden cardiac arrest,rs13438327
7,12892424,12892424,Sudden cardiac arrest,rs732577
7,46202985,46202985,Sudden cardiac arrest,rs6964415
7,4234812,4234812,Cardiac Troponin-T levels,rs117749317
8,70474669,70474669,Cardiac Troponin-T levels,rs10091374
8,31709490,31709490,Cardiac Troponin-T levels,rs4733271
8,28048371,28048371,Cardiac Troponin-T levels,rs6983473
8,48899642,48899642,Sudden cardiac arrest,rs12155623
8,104945312,104945312,Sudden cardiac arrest,rs16872085
8,77768114,77768114,Sudden cardiac arrest,rs3864663
8,136212558,136212558,Cardiac troponin-I levels,rs143593851
9,8457116,8457116,Cardiac Troponin-T levels,rs184140292
10,123447985,123447985,Cardiac Troponin-T levels,rs17666963
10,94276223,94276223,Sudden cardiac arrest,rs11187837
10,18661626,18661626,Sudden cardiac arrest,rs10829156
10,117450864,117450864,Early cardiac repolarization,rs6585436
10,86087202,86087202,Cardiac structure and function,rs7910620
10,5177901,5177901,Early cardiac repolarization,rs76495268
10,74140704,74140704,Cardiac troponin-I levels,rs71483973
10,113588287,113588287,Cardiac troponin-I levels,rs7080536
11,131937277,131937277,Cardiac Troponin-T levels,rs12098973
11,96133536,96133536,Sudden cardiac arrest,rs10765792
11,23023046,23023046,Sudden cardiac arrest,rs10833905
11,113120896,113120896,Cardiac muscle measurement,rs1436109
11,113120896,113120896,Cardiac muscle measurement,rs1436109
11,113120896,113120896,Cardiac muscle measurement,rs1436109
11,134731013,134731013,Cardiac Troponin-T levels,rs11223971
11,104856826,104856826,Cardiac troponin-I levels,rs499423
11,22250324,22250324,Cardiac troponin-I levels,rs7481951
12,127308069,127308069,Sudden cardiac arrest,rs1823172
12,92496744,92496744,Sudden cardiac arrest,rs10219495
12,91586597,91586597,Sudden cardiac arrest,rs10777317
12,97295990,97295990,Sudden cardiac arrest,rs10777845
12,75826838,75826838,Sudden cardiac arrest,rs7307780
