seqnames,start,end 
chr1,100023871,100024214
chr1,100037513,100039369
chr1,100132610,100133798
chr1,100176411,100179101
chr1,100187549,100189806
chr1,100218009,100218631
chr1,100249106,100250705
chr1,100265663,100266932
chr1,100279174,100281118
chr1,100292276,100293330
chr1,10032155,10032697
chr1,10032891,10033992
chr1,100350778,100353503
chr1,100387209,100388199
chr1,100400640,100401594
chr1,100439631,100440603
chr1,10046218,10046968
chr1,10052173,10053167
chr1,100531223,100531717
chr1,10057453,10058498
chr1,10059196,10059443
chr1,100643245,100643771
chr1,10065238,10066004
chr1,10066183,10068241
chr1,100894318,100897034
chr1,100995107,100995975
chr1,101002597,101003300
chr1,101025100,101026872
chr1,10105189,10107127
chr1,10107376,10110267
chr1,101111374,101113039
chr1,101150656,101151212
chr1,101161038,101161732
chr1,101161835,101163119
chr1,101163196,101164069
chr1,101181618,101183777
chr1,101186937,101188280
chr1,101203695,101205351
chr1,101217311,101217661
chr1,101234113,101237958
chr1,101238044,101240327
chr1,101240464,101241146
chr1,101241243,101242471
chr1,101242609,101243257
chr1,101244380,101245224
chr1,1012714,1015328
chr1,10154390,10157236
chr1,10159893,10162490
chr1,1019538,1020897
chr1,10204252,10204628
chr1,10209363,10213832
chr1,10215966,10216942
chr1,10217523,10218211
chr1,1024789,1025253
chr1,10253321,10254405
chr1,10283249,10283992
chr1,10284468,10287835
chr1,10308186,10310165
chr1,10338505,10338998
chr1,10339351,10339991
chr1,103525641,103526668
chr1,103561565,103562637
chr1,10377562,10378846
chr1,10387650,10388243
chr1,10398319,10399864
chr1,10430338,10431111
chr1,10471959,10472623
chr1,10472728,10473304
chr1,10474320,10475986
chr1,10540837,10541238
chr1,10634620,10636546
chr1,10662842,10666061
chr1,10666157,10666810
chr1,10668029,10669379
chr1,10673537,10674082
chr1,10674383,10674991
chr1,10675256,10675797
chr1,10676906,10677533
chr1,10677707,10680973
chr1,10681086,10683448
chr1,10683533,10684021
chr1,10684313,10690369
chr1,106879778,106880468
chr1,10693594,10694450
chr1,10694914,10696117
chr1,107056285,107057935
chr1,10713415,10715485
chr1,10716357,10718976
chr1,10719402,10725816
chr1,10725908,10728210
chr1,10734611,10738919
chr1,10744748,10747267
chr1,10755235,10757756
chr1,10761030,10765204
chr1,10767225,10768069
chr1,107834527,107834942
chr1,107842186,107842580
chr1,107844744,107845180
chr1,107850755,107851443
chr1,10788434,10789252
chr1,10793394,10796744
chr1,107936781,107937205
chr1,107940632,107941424
chr1,1079435,1080216
chr1,107953277,107954238
chr1,107963367,107965947
chr1,108049601,108050529
chr1,108050627,108051115
chr1,108057797,108058272
chr1,108182192,108183198
chr1,10818468,10821987
chr1,108198539,108201161
chr1,10822188,10823703
chr1,108559313,108560726
chr1,10857091,10858483
chr1,108590455,108591485
chr1,108595684,108596222
chr1,10860533,10861853
chr1,108609309,108610355
chr1,10861994,10863323
chr1,108660842,108661836
chr1,108691477,108694060
chr1,108746093,108747878
chr1,108815939,108817863
chr1,108828347,108828803
chr1,108830200,108831773
chr1,108876274,108877387
chr1,108962514,108964179
chr1,109041127,109042184
chr1,109042323,109042860
chr1,109075115,109077133
chr1,109079185,109081308
chr1,109089429,109092253
chr1,109093566,109094875
chr1,109099761,109101321
chr1,109150840,109151747
chr1,109162070,109162400
chr1,109213427,109215585
chr1,109239964,109241134
chr1,109253185,109255068
chr1,109282593,109284154
chr1,109298495,109299794
chr1,109299900,109300620
chr1,109304343,109305800
chr1,109306630,109307863
chr1,109352348,109352932
chr1,109370038,109372488
chr1,109382299,109383533
chr1,109384155,109386682
chr1,109387689,109388443
chr1,109388965,109397894
chr1,109398045,109398487
chr1,109425858,109427446
chr1,109465767,109468409
chr1,109483136,109483712
chr1,109483865,109484453
chr1,109490735,109491583
chr1,109493517,109494616
chr1,109509147,109510081
chr1,109532465,109533487
chr1,109534415,109537238
chr1,109546367,109547216
chr1,109547746,109549294
chr1,10956832,10958008
chr1,109570175,109570695
chr1,109619505,109621371
chr1,109655160,109657036
chr1,109662691,109663105
chr1,109663285,109664031
chr1,109668073,109668819
chr1,109766856,109767755
chr1,109777042,109777496
chr1,109790532,109791488
chr1,109791770,109792241
chr1,109792440,109794583
chr1,10979710,10981052
chr1,109821615,109822426
chr1,109826230,109827376
chr1,109851671,109853044
chr1,109876696,109878119
chr1,109882623,109884842
chr1,109892252,109893280
chr1,109895253,109897454
chr1,109899032,109899678
chr1,109909791,109913679
chr1,109926538,109931870
chr1,109953696,109954779
chr1,109977473,109978587
chr1,109983638,109985860
chr1,109987188,109987497
chr1,109990092,109990517
chr1,110003049,110005454
chr1,110033979,110035305
chr1,110050007,110052306
chr1,110084404,110085236
chr1,11011893,11013380
chr1,110187154,110189202
chr1,110209303,110211265
chr1,110240282,110241084
chr1,110262897,110263376
chr1,110309726,110310920
chr1,110337212,110340529
chr1,110380709,110381354
chr1,110383020,110383688
chr1,110383780,110384411
chr1,110390381,110390924
chr1,110406825,110408415
chr1,110414409,110415461
chr1,110425564,110426027
chr1,110466422,110467749
chr1,110555504,110556028
chr1,11059483,11059884
chr1,11060188,11060842
chr1,110606055,110607170
chr1,110634182,110634661
chr1,110963016,110964802
chr1,11099424,11100633
chr1,111139065,111141045
chr1,111227351,111228560
chr1,111274391,111275287
chr1,11131974,11132477
chr1,11132711,11135102
chr1,111346054,111347357
chr1,11137544,11138066
chr1,111448627,111450181
chr1,111467447,111468563
chr1,111473443,111475094
chr1,111475284,111477618
chr1,111481877,111482755
chr1,11149647,11153512
chr1,111506413,111506836
chr1,111507060,111509379
chr1,111509469,111511341
chr1,111513443,111513742
chr1,111514171,111517602
chr1,11156964,11159304
chr1,1115804,1116178
chr1,111582346,111583196
chr1,111591855,111594552
chr1,111619100,111621657
chr1,111622135,111622750
chr1,111718752,111721756
chr1,111721908,111722956
chr1,111725104,111725506
chr1,111728474,111732315
chr1,111732621,111735124
chr1,111735788,111741030
chr1,111743313,111744551
