seqnames,start,end,DISEASE/TRAIT,SNPS
1,221378197,221378197,Mortality in heart failure,rs12733856
1,118360355,118360355,Congenital heart malformation,rs2474937
1,207767508,207767508,Heart rate,rs11118555
1,207955720,207955720,Heart rate,rs11578508
1,207955377,207955377,Resting heart rate,rs2745967
1,243779782,243779782,RR interval (heart rate),rs4132509
1,213682245,213682245,RR interval (heart rate),rs17706439
1,115799281,115799281,Heart rate variability traits (SDNN),rs9428238
1,15091577,15091577,Conotruncal heart defects (inherited effects),rs12072230
1,109275216,109275216,Heart failure,rs660240
1,44546601,44546601,Heart rate response to recovery post exercise (40 sec),rs272564
1,31421549,31421549,Heart rate response to recovery post exercise (50 sec),rs11589125
1,44546601,44546601,Heart rate response to recovery post exercise (50 sec),rs272564
1,44546601,44546601,Heart rate increase in response to exercise,rs272564
1,44546601,44546601,Heart rate response to recovery post exercise (30 sec),rs272564
1,97524780,97524780,Heart rate response to beta blockers (atenolol monotherapy),rs6685658
1,245060665,245060665,Heart rate response to beta blockers (atenolol monotherapy),rs547441
1,183796672,183796672,Heart rate response to beta blockers (atenolol monotherapy),rs3002655
1,14807172,14807172,Heart rate response to beta blockers (atenolol monotherapy),rs804136
1,14418293,14418293,Heart rate response to beta blockers (atenolol add-on therapy),rs12130603
1,72257528,72257528,Heart rate response to recovery post exercise (10 sec),rs61765646
1,44540324,44540324,Heart rate response to recovery post exercise (20 sec),rs272570
1,72286390,72286390,Heart rate response to recovery post exercise (20 sec),rs12740789
1,220855166,220855166,Heart failure,rs11118620
1,44546601,44546601,Heart rate response to exercise,rs272564
1,44546601,44546601,Heart rate response to exercise,rs272564
1,44546601,44546601,Heart rate response to recovery post exercise,rs272564
1,44546601,44546601,Resting heart rate,rs272564
1,207774716,207774716,Resting heart rate,rs35118522
1,150612358,150612358,Congenital left-sided heart lesions,rs12045807
1,9940418,9940418,Resting heart rate,rs182770070
1,87427449,87427449,Resting heart rate,rs2152735
1,44546601,44546601,Resting heart rate,rs272564
1,217549549,217549549,Resting heart rate,rs11454451
1,6212077,6212077,Resting heart rate,rs145358377
1,207788387,207788387,Resting heart rate,rs41317993
1,6236178,6236178,Resting heart rate,rs9970334
1,66525663,66525663,Resting heart rate,rs10789207
1,156486737,156486737,Resting heart rate,rs1171563
1,207915947,207915947,Resting heart rate,rs2745959
1,245175674,245175674,Ischemic heart disease in rheumatoid arthritis,rs112844193
1,156087626,156087626,Ischemic heart disease in rheumatoid arthritis,rs112941217
1,39525916,39525916,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs3738676
1,10662447,10662447,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs59985166
1,207920374,207920374,RR interval (heart rate),rs2785638
1,18784584,18784584,Heart rate in heart failure with reduced ejection fraction,rs74056623
1,18790006,18790006,Heart rate in heart failure with reduced ejection fraction,rs74056624
1,18783262,18783262,Heart rate in heart failure with reduced ejection fraction,rs188344082
1,236396997,236396997,Heart rate in heart failure with reduced ejection fraction,rs78133413
1,224153647,224153647,Heart rate in heart failure with reduced ejection fraction,rs113737900
1,121213648,121213648,Heart rate in heart failure with reduced ejection fraction,rs587606498
1,62981186,62981186,Heart rate in heart failure with reduced ejection fraction,rs72671743
1,184396836,184396836,Heart rate in heart failure with reduced ejection fraction,rs61823501
1,236396997,236396997,Heart rate in heart failure with reduced ejection fraction,rs78133413
1,165408366,165408366,Heart rate in heart failure with reduced ejection fraction,rs116521297
1,165408879,165408879,Heart rate in heart failure with reduced ejection fraction,rs78093250
1,18783514,18783514,Heart rate in heart failure with reduced ejection fraction,rs113459855
1,226505234,226505234,Heart rate in heart failure with reduced ejection fraction,rs143554223
1,226518546,226518546,Heart rate in heart failure with reduced ejection fraction,rs148467525
1,18783980,18783980,Heart rate in heart failure with reduced ejection fraction,rs74056619
1,18784033,18784033,Heart rate in heart failure with reduced ejection fraction,rs74056620
1,18784068,18784068,Heart rate in heart failure with reduced ejection fraction,rs74056621
1,18784160,18784160,Heart rate in heart failure with reduced ejection fraction,rs74056622
2,187468337,187468337,Heart rate,rs4140885
2,178856319,178856319,Heart rate,rs17362588
2,231406573,231406573,Heart rate,rs13030174
2,177815704,177815704,Heart rate,rs13413635
2,84019462,84019462,RR interval (heart rate),rs1447537
2,68836777,68836777,RR interval (heart rate),rs10496166
2,37523837,37523837,RR interval (heart rate),rs4352210
2,9581767,9581767,Heart rate variability traits,rs6432018
2,178848941,178848941,Heart rate variability traits (RMSSD),rs13004438
2,23482004,23482004,Conotruncal heart defects (maternal effects),rs6728515
2,5847944,5847944,Conotruncal heart defects (inherited effects),rs2709466
2,153185808,153185808,Conotruncal heart defects (inherited effects),rs10202249
2,217668617,217668617,Congenital heart disease (inherited effect),rs1430128
2,141204588,141204588,Congenital heart disease (inherited effect),rs11895588
2,175845357,175845357,Congenital heart disease (maternal effect),rs13011467
2,59773169,59773169,Heart rate response to recovery post exercise (40 sec),rs1899492
2,59781131,59781131,Heart rate response to recovery post exercise (50 sec),rs13022107
2,59803376,59803376,Heart rate increase in response to exercise,rs4672317
2,59779531,59779531,Heart rate response to recovery post exercise (30 sec),rs12713403
2,72786707,72786707,Heart rate response to beta blockers (atenolol monotherapy),rs7593084
2,150979869,150979869,Heart rate response to beta blockers (atenolol monotherapy),rs6713372
2,72842170,72842170,Heart rate response to beta blockers (atenolol monotherapy),rs12619068
2,148650670,148650670,Heart rate response to beta blockers (atenolol monotherapy),rs16829119
2,59781131,59781131,Heart rate response to recovery post exercise (10 sec),rs13022107
2,178856319,178856319,Heart rate response to recovery post exercise (10 sec),rs17362588
2,178894965,178894965,Heart rate response to recovery post exercise (10 sec),rs35596070
2,59799771,59799771,Heart rate response to recovery post exercise (20 sec),rs1442875
2,178894965,178894965,Heart rate response to recovery post exercise (20 sec),rs35596070
2,126905321,126905321,Heart failure,rs13418717
2,6303084,6303084,Immunoglobulin light chain (AL) amyloidosis (heart and kidney involvement),rs6752376
2,59779570,59779570,Heart rate response to exercise,rs12713404
2,59652132,59652132,Heart rate response to recovery post exercise,rs2539671
2,59798828,59798828,Heart rate response to recovery post exercise,rs1372876
2,178975161,178975161,Heart rate response to exercise,rs10497529
2,59714844,59714844,Heart rate response to recovery post exercise,rs197084
2,178975161,178975161,Resting heart rate,rs10497529
2,27508073,27508073,Resting heart rate,rs1260326
2,219434819,219434819,Resting heart rate,rs907683
2,231404173,231404173,Resting heart rate,rs13002735
2,52478914,52478914,Conotruncal heart defects,rs6545278
2,239522359,239522359,Conotruncal heart defects,rs6706785
2,178860510,178860510,Resting heart rate,rs151041685
2,159196220,159196220,Resting heart rate,rs17494056
2,27508073,27508073,Resting heart rate,rs1260326
2,59779570,59779570,Resting heart rate,rs12713404
2,231404173,231404173,Resting heart rate,rs13002735
2,227269439,227269439,Resting heart rate,rs4608502
2,174682945,174682945,Resting heart rate,rs564190295
2,66497930,66497930,Resting heart rate,rs62144050
2,187377642,187377642,Resting heart rate,rs62172372
2,219434819,219434819,Resting heart rate,rs907683
2,178975161,178975161,Resting heart rate,rs10497529
2,178921341,178921341,Heart rate,rs79146658
2,28613010,28613010,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs13409705
2,217802649,217802649,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs3791979
2,45262494,45262494,Glomerular filtration rate change in heart transplantation,rs17033285
2,23527771,23527771,Heart rate in heart failure with reduced ejection fraction,rs1709294
2,172769257,172769257,Heart rate in heart failure with reduced ejection fraction,rs115472750
2,225227882,225227882,Heart rate in heart failure with reduced ejection fraction,rs189536067
2,225229677,225229677,Heart rate in heart failure with reduced ejection fraction,rs111641830
2,225229816,225229816,Heart rate in heart failure with reduced ejection fraction,rs112372754
2,4101751,4101751,Heart rate in heart failure with reduced ejection fraction,rs112901026
3,32447042,32447042,Mortality in heart failure,rs12638540
3,179455191,179455191,Heart rate,rs7612445
3,172067378,172067378,Heart rate,rs9647379
3,53344218,53344218,Heart rate,rs2029213
3,99448263,99448263,RR interval (heart rate),rs2670321
3,167790274,167790274,Heart rate,rs13090836
3,159089748,159089748,Conotruncal heart defects (maternal effects),rs6441249
3,159298001,159298001,Conotruncal heart defects (maternal effects),rs35611996
3,50213314,50213314,Conotruncal heart defects (maternal effects),rs74461473
3,13289122,13289122,Conotruncal heart defects (inherited effects),rs749573
3,114227412,114227412,Congenital heart disease (inherited effect),rs66678247
3,63495718,63495718,Congenital heart disease (inherited effect),rs4688406
3,159298001,159298001,Congenital heart disease (maternal effect),rs35611996
3,159090176,159090176,Congenital heart disease (maternal effect),rs9870274
3,18842371,18842371,Heart rate response to recovery post exercise (50 sec),rs73043051
3,74734257,74734257,Heart rate response to recovery post exercise (30 sec),rs34310778
3,74741866,74741866,Heart rate response to recovery post exercise (20 sec),rs6549653
3,165562421,165562421,Heart failure,rs1523288
3,63453210,63453210,Congenital left-sided heart lesions,rs1975649
3,32447042,32447042,Mortality in heart failure,rs12638540
3,38743466,38743466,Heart rate response to exercise,rs7433723
3,74737340,74737340,Heart rate response to recovery post exercise,rs6549649
3,38725184,38725184,Heart rate response to recovery post exercise,rs6795970
3,49732599,49732599,Resting heart rate,rs3749237
3,179455191,179455191,Resting heart rate,rs7612445
