seqnames,start,end,DISEASE/TRAIT
1,15972817,15972817,Idiopathic dilated cardiomyopathy
1,194242065,194242065,Idiopathic dilated cardiomyopathy
1,206815766,206815766,Idiopathic dilated cardiomyopathy
1,14466039,14466039,Chagas cardiomyopathy in Tripanosoma cruzi seropositivity
2,151924550,151924550,Idiopathic dilated cardiomyopathy
2,197681140,197681140,Idiopathic dilated cardiomyopathy
2,197781302,197781302,Idiopathic dilated cardiomyopathy
2,204381983,204381983,Idiopathic dilated cardiomyopathy
3,56763740,56763740,Idiopathic dilated cardiomyopathy
3,113197356,113197356,Idiopathic dilated cardiomyopathy
3,151671416,151671416,Idiopathic dilated cardiomyopathy
3,157629851,157629851,Idiopathic dilated cardiomyopathy
3,192461558,192461558,Idiopathic dilated cardiomyopathy
3,69774942,69774942,Chagas cardiomyopathy in Tripanosoma cruzi seropositivity
4,24885769,24885769,Idiopathic dilated cardiomyopathy
4,87602425,87602425,Idiopathic dilated cardiomyopathy
4,176900833,176900833,Idiopathic dilated cardiomyopathy
5,24478717,24478717,Idiopathic dilated cardiomyopathy
5,89484828,89484828,Idiopathic dilated cardiomyopathy
5,165040486,165040486,Idiopathic dilated cardiomyopathy
6,12928618,12928618,Idiopathic dilated cardiomyopathy
6,148266100,148266100,Idiopathic dilated cardiomyopathy
6,170392743,170392743,Idiopathic dilated cardiomyopathy
6,33566949,33566949,Chagas cardiomyopathy in Tripanosoma cruzi seropositivity
6,34614497,34614497,Chagas cardiomyopathy in Tripanosoma cruzi seropositivity
6,40360639,40360639,Chagas cardiomyopathy in Tripanosoma cruzi seropositivity
6,44204326,44204326,Chagas cardiomyopathy in Tripanosoma cruzi seropositivity
7,9566646,9566646,Idiopathic dilated cardiomyopathy
7,11849866,11849866,Idiopathic dilated cardiomyopathy
7,131880791,131880791,Idiopathic dilated cardiomyopathy
7,142060046,142060046,Idiopathic dilated cardiomyopathy
7,143921954,143921954,Idiopathic dilated cardiomyopathy
8,24659711,24659711,Idiopathic dilated cardiomyopathy
8,17604713,17604713,Chagas cardiomyopathy in Tripanosoma cruzi seropositivity
8,32460839,32460839,Chagas cardiomyopathy in Tripanosoma cruzi seropositivity
10,119670121,119670121,Idiopathic dilated cardiomyopathy
11,36851214,36851214,Idiopathic dilated cardiomyopathy
11,69577194,69577194,Idiopathic dilated cardiomyopathy
11,7374960,7374960,Chagas cardiomyopathy in Tripanosoma cruzi seropositivity
12,38056619,38056619,Idiopathic dilated cardiomyopathy
12,74338244,74338244,Idiopathic dilated cardiomyopathy
12,114423872,114423872,Idiopathic dilated cardiomyopathy
12,18871624,18871624,Chagas cardiomyopathy in Tripanosoma cruzi seropositivity
12,21138627,21138627,Chagas cardiomyopathy in Tripanosoma cruzi seropositivity
13,105716734,105716734,Idiopathic dilated cardiomyopathy
14,21728267,21728267,Chagas cardiomyopathy in Tripanosoma cruzi seropositivity
14,64852643,64852643,Chagas cardiomyopathy in Tripanosoma cruzi seropositivity
15,42142639,42142639,Chagas cardiomyopathy in Tripanosoma cruzi seropositivity
15,38142690,38142690,Chagas cardiomyopathy in Tripanosoma cruzi seropositivity
16,1277391,1277391,Idiopathic dilated cardiomyopathy
16,78730200,78730200,Idiopathic dilated cardiomyopathy
16,87644835,87644835,Idiopathic dilated cardiomyopathy
17,59826941,59826941,Idiopathic dilated cardiomyopathy
17,78560033,78560033,Idiopathic dilated cardiomyopathy
19,21952468,21952468,Chagas cardiomyopathy in Tripanosoma cruzi seropositivity
20,34064997,34064997,Idiopathic dilated cardiomyopathy
20,48320406,48320406,Idiopathic dilated cardiomyopathy
20,63142105,63142105,Idiopathic dilated cardiomyopathy
21,31512535,31512535,Chagas cardiomyopathy in Tripanosoma cruzi seropositivity
22,34748420,34748420,Chagas cardiomyopathy in Tripanosoma cruzi seropositivity
